x,y
974,572
973,573
973,573
976,574
976,575
977,564
974,580
968,575
970,573
972,573
975,575
963,574
969,574
970,573
977,571
970,573
967,576
971,575
976,569
970,571
970,571
970,570
978,622
979,626
974,574
975,573
976,572
976,572
975,570
975,570
976,571
973,573
974,573
973,574
971,574
968,573
967,574
971,573
973,576
985,1001
989,990
981,999
993,1001
1002,1017
1001,1017
1006,1006
1004,1008
1004,1011
998,995
999,985
998,982
1005,976
1002,972
1006,967
1008,955
1002,944
989,932
990,924
987,913
986,906
986,903
984,897
980,894
973,889
969,889
951,876
933,868
914,861
892,852
875,847
854,842
841,838
820,836
797,833
771,829
749,827
732,824
715,820
698,815
681,810
663,802
629,799
632,789
610,784
600,777
596,770
588,758
581,750
573,736
567,724
555,707
549,693
549,677
547,662
534,641
544,635
527,612
548,618
541,604
535,592
538,586
545,587
540,570
538,557
555,560
554,547
553,539
550,532
546,509
553,521
547,504
545,510
547,505
545,506
549,520
578,564
554,541
554,546
555,556
553,554
551,567
556,582
551,580
562,600
545,601
559,622
555,631
553,644
546,654
536,670
536,686
544,700
549,711
547,721
554,735
569,754
579,770
598,786
602,792
617,800
629,806
638,810
658,817
675,822
684,823
704,829
724,833
741,833
756,833
773,833
788,835
803,835
820,834
834,834
845,836
861,839
875,842
885,843
897,845
908,848
922,851
932,854
946,859
953,862
963,866
1017,889
1017,896
1017,902
926,840
993,898
989,903
993,909
996,919
1003,929
1015,948
1015,947
1018,954
1039,962
1053,962
1048,960
1085,983
1091,986
1094,984
1081,975
1079,976
1072,966
1043,949
1044,944
1050,951
1053,967
1072,971
1063,964
1069,964
1070,962
1052,953
1049,949
1034,936
1016,921
1005,906
996,896
1012,904
1013,908
1008,903
1006,904
1006,906
984,892
943,858
932,856
916,851
904,849
887,847
875,845
855,844
836,844
825,843
804,846
775,842
754,840
735,836
724,834
709,833
686,823
671,820
654,820
616,816
604,812
603,803
596,794
586,783
582,774
565,756
569,749
560,736
540,715
549,712
544,699
534,682
530,671
534,664
518,646
520,634
543,637
533,611
543,616
535,595
548,598
543,587
547,579
538,550
541,541
542,528
544,534
544,525
549,540
555,542
556,527
553,533
549,543
544,553
543,560
542,563
542,572
540,574
535,579
547,597
552,601
534,604
550,613
537,620
538,623
554,628
562,637
561,643
560,658
564,669
567,684
567,699
577,713
587,725
594,738
604,756
613,761
624,770
631,777
643,786
661,795
677,802
689,807
709,815
726,822
746,826
759,828
779,832
795,835
811,833
828,835
840,837
858,840
875,843
889,843
901,845
915,848
931,851
941,858
953,863
989,884
1002,889
1011,896
979,880
1014,906
991,897
990,900
990,905
991,910
991,916
996,925
1000,931
1007,941
1011,944
1015,946
1017,945
1032,953
1025,951
1024,950
1030,948
1029,944
1034,944
1035,945
1028,933
1028,935
1024,933
1016,923
1023,925
1012,917
1025,918
1002,905
998,899
1002,899
1001,897
1003,898
999,892
1000,892
982,877
971,869
966,869
964,867
956,861
951,858
945,855
934,852
920,850
906,845
898,845
884,847
867,846
850,844
838,844
823,837
807,834
791,830
779,829
766,829
752,826
739,827
726,827
715,828
703,826
690,829
680,827
668,830
659,829
644,831
635,828
616,832
619,821
612,815
612,810
604,806
596,801
571,793
577,787
572,782
572,775
568,770
565,765
551,758
547,756
539,752
520,746
510,743
506,736
508,729
515,723
522,717
526,711
520,696
526,694
531,685
521,670
524,661
526,653
526,644
530,634
533,625
543,616
554,621
538,601
546,597
543,591
548,588
534,577
544,576
547,568
539,551
529,547
527,541
525,547
523,568
522,562
534,559
528,564
540,579
540,577
547,588
559,607
561,601
563,604
568,608
566,611
566,618
563,627
566,639
561,649
562,661
564,675
570,689
565,697
566,705
570,715
571,724
576,732
581,752
589,753
592,760
597,770
600,779
603,785
609,793
612,799
619,807
625,813
632,819
639,823
648,829
655,833
665,836
676,838
685,841
697,842
709,843
719,846
730,846
740,845
755,847
765,848
779,848
792,848
809,847
821,846
833,846
846,847
858,843
867,842
876,840
970,598
923,847
907,845
924,852
944,863
941,862
960,874
969,877
975,880
984,884
989,887
995,895
987,891
992,894
984,891
987,891
972,892
987,911
989,911
989,913
981,919
997,903
996,905
1002,910
1044,883
1051,892
1054,897
1055,900
974,570
995,942
997,942
1001,892
966,896
1004,893
970,897
984,893
978,891
980,890
970,892
969,901
967,901
972,899
986,933
992,932
965,903
971,573
987,886
990,887
987,890
