x,y
1000,462
1000,459
1008,462
1011,460
1006,461
1009,459
1012,457
1016,452
1018,453
989,441
1022,459
1014,459
1010,461
1002,462
995,465
988,467
975,469
977,468
977,468
975,466
971,465
964,465
958,464
946,466
939,467
932,468
963,310
916,469
909,474
900,471
966,301
969,297
976,284
860,470
902,263
903,261
904,265
824,473
817,472
806,472
795,471
781,470
957,317
961,311
971,294
732,469
725,471
718,471
710,468
691,461
681,457
674,418
667,420
662,419
655,429
652,434
658,420
673,447
668,425
669,428
677,446
671,428
692,469
700,470
704,473
715,478
719,475
721,479
727,480
735,481
980,412
751,494
758,505
774,518
784,533
796,541
807,547
813,554
819,571
822,577
826,585
831,594
834,611
836,620
838,639
838,651
836,662
837,682
839,694
839,707
837,727
835,741
834,752
832,762
825,777
821,792
817,805
813,815
806,827
799,838
795,848
784,859
776,870
769,880
758,888
750,894
742,901
732,909
714,917
705,919
697,921
683,921
677,922
670,923
661,925
648,925
640,925
631,925
621,923
614,922
608,924
598,922
591,922
585,924
580,922
575,920
569,915
563,913
557,912
544,916
535,915
529,911
522,911
607,857
537,913
545,909
551,910
554,910
559,909
566,910
571,910
577,913
587,916
593,917
600,917
614,917
621,919
630,920
642,919
653,920
661,921
668,921
685,919
690,921
697,920
704,920
714,918
723,915
733,914
743,910
754,899
768,883
776,867
785,865
793,857
799,845
802,840
804,832
806,822
808,811
810,801
810,787
812,778
812,768
811,750
811,739
811,726
811,709
811,688
812,673
812,658
811,647
810,636
809,626
806,614
804,602
801,591
799,581
796,571
793,563
790,556
784,547
778,538
772,530
764,524
759,519
754,515
747,512
741,507
734,503
718,503
712,501
699,507
692,505
687,509
687,512
679,514
689,466
635,501
669,496
689,486
681,491
678,491
687,434
693,433
685,493
690,494
693,493
719,486
724,483
728,482
733,479
742,478
748,477
753,475
763,475
778,474
787,472
798,473
808,471
816,470
826,470
833,469
841,468
849,467
857,466
876,464
881,465
885,464
894,460
901,456
907,454
917,446
963,307
924,452
929,451
933,449
938,446
942,446
949,444
954,443
961,440
957,450
954,453
955,450
956,446
960,435
959,434
957,430
955,431
969,293
965,297
967,296
965,299
939,427
974,287
926,445
921,451
921,443
912,439
910,440
914,439
912,440
962,303
966,298
900,269
900,266
893,270
888,274
902,265
840,474
838,470
830,470
810,477
805,475
799,473
788,474
761,476
753,474
747,473
956,320
963,309
727,473
904,263
709,474
699,474
688,470
683,469
676,468
668,464
656,440
651,443
643,448
640,452
648,423
661,477
655,451
663,464
675,470
678,466
682,471
981,415
692,478
982,410
707,483
712,483
719,487
731,487
737,490
743,494
753,505
769,524
776,537
787,540
795,545
803,550
808,556
816,571
821,579
824,585
830,594
833,607
835,615
837,626
839,639
840,655
840,666
842,678
844,697
847,710
848,721
846,733
844,748
844,758
843,769
839,783
834,795
831,806
825,817
820,826
813,838
807,850
796,861
787,872
782,878
773,885
768,891
755,899
743,908
729,915
721,917
713,919
698,920
691,921
683,923
675,924
663,925
653,925
645,924
638,924
628,922
616,922
609,922
603,922
597,921
590,916
584,916
580,914
574,912
567,910
562,910
557,910
550,908
538,908
532,907
532,905
548,905
544,912
546,912
546,914
548,914
553,913
556,913
560,912
565,913
573,914
579,917
584,919
596,919
601,918
607,917
620,917
626,918
635,918
648,919
657,920
664,920
672,919
684,916
687,916
695,915
702,915
710,913
719,911
730,906
737,902
749,887
759,873
772,871
784,858
792,852
800,845
805,831
808,824
810,817
816,801
815,795
818,785
819,776
820,758
821,747
823,737
825,720
826,704
827,692
828,680
827,665
826,653
825,640
824,630
821,615
819,605
817,596
813,584
811,576
808,568
804,557
799,549
793,538
787,528
780,520
776,512
772,506
765,499
756,492
751,488
744,488
738,485
731,484
726,482
719,480
711,480
696,482
689,481
684,482
680,484
676,482
669,476
663,472
654,468
647,467
644,477
646,481
630,462
625,463
629,458
632,459
636,460
654,482
668,437
668,491
677,495
685,497
689,496
694,497
716,493
717,492
729,490
736,490
744,487
749,485
765,485
778,482
789,478
799,477
811,476
820,475
828,474
838,473
846,471
855,469
871,468
880,467
885,467
890,465
901,460
908,457
915,456
966,302
928,457
934,457
938,455
965,302
950,451
955,451
961,450
979,427
987,425
962,455
963,453
961,450
962,446
966,436
966,438
966,435
966,434
965,436
973,289
974,287
969,295
964,303
968,295
967,395
943,434
934,451
927,460
974,419
960,315
917,444
913,448
912,453
955,320
967,299
893,470
903,265
890,274
895,272
901,267
903,268
840,481
835,479
960,310
816,479
812,477
802,477
788,479
778,477
757,474
751,473
742,474
734,472
974,287
722,472
903,266
903,266
688,473
678,427
671,460
663,455
654,440
649,443
661,471
656,472
658,469
657,447
663,454
667,456
677,462
680,468
683,473
690,475
701,481
707,479
718,477
720,482
729,479
734,480
740,484
746,490
761,502
773,511
784,521
792,527
801,537
806,541
811,550
816,563
819,569
824,576
826,591
831,600
834,611
834,624
838,644
840,654
844,665
846,684
848,696
850,708
850,719
848,733
848,744
844,757
838,771
831,783
829,795
826,805
821,814
813,827
805,842
799,855
790,868
785,874
781,879
774,886
991,604
743,907
736,912
730,915
714,918
706,919
693,922
684,924
676,924
668,925
657,924
650,923
641,923
631,923
619,920
613,920
608,919
604,919
598,914
592,913
585,912
578,910
570,910
566,908
562,907
551,907
543,904
544,909
541,914
538,920
541,920
544,918
552,912
560,912
562,913
566,915
569,917
579,919
584,920
589,920
595,919
600,918
614,915
620,917
630,917
645,919
652,919
664,917
669,915
676,913
682,913
691,911
700,910
709,907
721,900
732,893
741,882
751,869
762,860
779,848
789,836
796,828
800,815
803,808
806,801
810,785
813,772
816,761
817,748
818,736
821,722
823,703
824,690
825,670
825,656
824,646
822,634
821,624
817,612
814,602
811,589
806,577
802,568
797,560
791,550
781,541
775,530
770,523
763,517
758,511
752,503
747,496
742,496
736,493
730,490
725,492
719,490
711,493
697,492
691,493
682,491
678,491
675,495
667,490
665,493
660,497
646,485
638,485
635,484
620,468
621,462
621,459
622,457
635,470
660,491
671,495
671,491
670,489
681,494
693,492
699,491
716,488
719,486
731,483
737,483
741,483
748,479
765,481
780,478
791,474
803,473
811,471
820,469
829,469
836,467
845,465
853,465
872,464
877,463
883,463
889,461
897,456
904,454
914,443
960,312
971,295
925,450
929,449
936,448
