x,y
996,474
1000,472
983,478
983,477
983,473
988,470
988,468
956,469
951,477
979,471
967,468
983,466
979,462
972,465
968,461
967,458
958,454
946,456
931,460
916,467
947,302
945,306
892,461
883,480
882,479
944,320
956,296
945,302
943,307
947,304
948,303
819,487
964,420
962,423
971,406
977,389
951,298
951,298
983,382
983,384
983,385
663,501
655,497
645,491
629,477
634,488
953,297
950,301
652,478
666,472
670,466
680,459
682,459
954,291
692,463
704,466
711,466
717,462
725,457
732,462
741,461
759,471
768,478
775,483
783,494
789,496
797,508
804,512
810,521
812,539
816,551
817,562
819,570
820,585
822,593
821,606
820,627
820,643
821,662
822,674
824,690
826,713
827,726
826,741
825,764
824,779
818,796
815,812
808,829
804,840
795,854
791,867
786,878
774,891
769,900
756,908
747,913
737,920
722,925
715,927
705,928
684,927
674,926
666,925
647,925
638,926
626,926
613,921
603,917
594,914
587,912
576,911
562,909
550,909
542,908
534,906
531,905
529,905
526,905
525,904
526,903
519,904
516,903
523,847
494,919
484,919
473,926
476,917
479,909
475,907
470,907
511,881
520,872
503,883
501,888
498,896
502,893
509,888
517,883
496,896
499,897
509,901
513,903
515,905
519,907
529,907
537,909
545,911
557,912
566,913
573,915
585,919
592,920
600,922
618,924
626,925
641,923
654,921
660,922
673,923
687,928
698,928
710,923
721,920
729,919
742,913
751,907
776,891
781,882
786,874
789,852
795,852
800,840
806,833
811,824
811,807
813,798
814,783
816,771
819,753
819,735
819,717
817,702
817,686
817,673
818,657
819,642
820,625
818,608
817,597
815,588
806,578
803,567
800,559
794,548
787,538
780,532
768,525
759,523
749,519
737,512
730,508
722,504
710,499
700,496
690,494
672,496
666,494
659,492
651,490
643,487
632,483
610,458
607,458
608,458
610,456
606,453
641,471
642,469
650,470
645,470
647,471
655,472
663,470
671,470
692,472
705,469
712,468
722,467
728,467
738,468
748,471
757,468
769,465
782,465
794,465
805,462
817,463
825,463
833,464
843,463
858,460
872,458
881,460
887,460
895,457
911,443
921,440
949,310
945,444
949,315
954,307
950,303
961,464
966,471
959,453
962,447
969,442
974,300
976,296
983,376
979,428
982,439
976,448
947,305
943,310
941,313
970,408
965,416
965,419
951,298
950,299
954,291
967,417
965,419
966,416
974,398
974,396
976,391
982,380
982,379
977,385
948,302
955,290
998,474
976,478
975,475
970,471
965,472
967,469
957,454
979,475
976,474
976,473
980,465
977,463
969,466
964,460
958,460
951,458
939,458
929,461
921,463
912,465
957,286
893,461
884,458
863,460
853,460
845,460
833,460
831,462
958,284
819,457
800,459
969,407
970,406
968,409
971,405
722,466
712,466
700,469
686,471
676,473
663,476
656,475
650,476
645,477
638,474
616,450
615,456
624,470
632,475
636,475
647,472
649,470
653,470
658,470
659,468
668,463
670,462
680,463
696,467
705,465
709,463
717,464
722,462
729,467
741,469
759,473
772,487
781,492
788,497
795,511
804,517
812,527
816,541
820,552
821,568
823,574
827,583
829,598
829,610
828,624
826,640
826,660
825,679
827,692
827,713
827,730
828,743
825,761
824,771
821,790
819,802
817,816
812,831
809,844
805,854
800,865
797,876
794,887
785,894
782,903
777,910
767,917
759,921
752,925
737,927
732,929
717,929
707,928
695,927
679,927
673,927
663,928
652,930
638,928
629,926
619,921
604,917
595,918
585,918
572,917
563,913
555,910
548,906
548,903
543,903
531,906
530,905
529,903
527,902
521,904
515,906
524,852
524,851
502,913
500,915
497,911
496,909
499,904
497,904
516,881
519,875
520,872
522,869
525,865
525,858
521,861
511,876
511,880
509,886
510,888
514,888
517,888
503,898
512,894
528,888
533,890
521,901
522,899
523,901
526,905
530,906
536,908
546,912
551,913
558,915
571,916
578,916
588,920
594,924
606,927
622,929
634,927
644,927
657,926
665,926
676,928
691,929
701,933
714,932
733,923
747,918
759,905
765,906
784,893
791,887
795,882
799,872
801,863
803,855
804,839
809,832
814,821
818,813
821,794
820,780
819,761
818,746
817,732
817,715
816,699
812,680
812,661
810,649
808,631
807,620
806,604
804,592
801,575
795,561
790,552
786,545
780,536
774,525
768,517
760,510
752,505
744,501
736,498
730,496
724,493
716,489
709,485
699,482
690,478
678,477
672,475
664,474
658,474
654,474
650,475
620,422
614,419
627,467
631,467
626,425
639,466
651,467
656,462
661,462
663,462
663,462
664,455
675,453
681,449
688,448
692,449
707,458
710,458
719,459
721,456
727,455
740,459
752,459
770,460
783,461
793,464
807,465
817,465
827,463
839,464
851,463
867,463
874,461
881,459
890,458
909,445
915,445
929,440
947,310
966,306
981,295
954,456
980,296
967,461
975,462
979,457
964,454
965,453
971,440
977,382
978,381
978,380
979,379
981,376
983,377
982,380
982,383
981,389
975,401
976,402
974,404
973,407
968,416
965,423
967,411
964,419
960,427
958,432
964,421
961,423
968,410
967,411
968,410
975,398
973,401
317,997
322,1002
325,1008
328,1012
329,1015
332,1018
333,1021
335,1023
338,1028
340,1030
341,1034
344,1039
346,1041
347,1041
349,1043
350,1041
968,408
984,482
982,481
974,473
972,469
971,469
971,466
973,467
983,471
981,470
979,468
967,463
974,457
963,453
957,457
955,456
944,454
942,453
934,455
956,290
956,288
956,285
956,284
888,258
871,459
858,461
843,462
837,464
827,467
950,297
952,294
952,293
951,294
776,467
758,470
739,472
727,471
717,471
972,400
972,401
979,392
979,392
980,392
649,473
640,476
620,461
610,444
613,464
615,465
635,474
642,471
646,469
657,471
655,469
653,469
666,471
682,468
694,470
706,472
713,471
722,471
734,478
745,481
759,486
768,497
774,501
782,505
974,395
795,528
799,549
802,555
805,574
809,580
814,588
818,605
823,617
822,630
823,654
823,667
825,685
827,707
825,722
826,746
826,757
826,769
825,790
823,805
822,819
815,838
811,850
802,862
799,873
794,881
784,893
775,898
762,903
740,909
722,915
713,918
696,922
688,925
678,928
663,926
653,927
641,928
622,927
610,926
597,927
588,922
583,920
573,915
565,912
555,912
544,912
533,912
525,910
523,908
524,904
523,901
522,902
556,872
553,874
495,908
494,908
530,874
457,939
537,870
512,870
508,869
497,863
535,873
536,877
533,883
520,903
521,905
521,908
527,910
532,911
538,912
548,915
553,916
558,916
570,919
576,922
583,925
593,926
601,928
617,930
627,930
639,929
648,928
656,929
672,927
682,932
693,932
701,932
709,930
722,926
730,924
740,922
752,922
769,914
781,903
790,891
799,886
811,875
818,872
824,862
829,857
832,850
835,832
836,824
838,816
